,Name,Speed,Team
166,Noah Weißhaupt,33.32,Sport-Club Freiburg
167,A. Král,33.32,1. FC Union Berlin
168,Benjamin Henrichs,33.32,RB Leipzig
169,E. Karic,33.31,SV Darmstadt 98
170,A. Engels,33.28,FC Augsburg
171,J. Ryerson,33.27,Borussia Dortmund
172,Aissa Laidouni,33.24,1. FC Union Berlin
173,J. Hauge,33.23,Eintracht Frankfurt
174,Aymen Barkok,33.23,1. FSV Mainz 05
175,Ozan Kabak,33.21,TSG Hoffenheim
176,E. Bitshiabu,33.20,RB Leipzig
177,Serge Gnabry,33.19,FC Bayern München
178,C. Baumgartner,33.18,RB Leipzig
179,L. Paqarada,33.17,1. FC Köln
180,Serhou Guirassy,33.15,VfB Stuttgart
181,Alejandro Grimaldo,33.15,Bayer 04 Leverkusen
182,L. Maloney,33.15,1. FC Heidenheim 1846
183,S. Boey,33.12,FC Bayern München
184,Tuta,33.09,Eintracht Frankfurt
185,A. Caci,33.08,1. FSV Mainz 05
186,K. Volland,33.08,1. FC Union Berlin
187,Umut Tohumcu,33.08,TSG Hoffenheim
188,Oliver Burke,33.07,SV Werder Bremen
189,Timo Hübers,33.07,1. FC Köln
190,F. Grillitsch,33.07,TSG Hoffenheim
191,Joe Scally,33.05,Borussia Mönchengladbach
192,R. Bensebaini,33.05,Borussia Dortmund
193,Silvan Widmer,33.05,1. FSV Mainz 05
194,S. Fukuda,33.04,Borussia Mönchengladbach
195,P. Wimmer,33.04,VfL Wolfsburg
196,Philipp Max,33.03,Eintracht Frankfurt
197,K. Itakura,33.02,Borussia Mönchengladbach
198,X. Schlager,33.02,RB Leipzig
199,A. Kramarić,33.01,TSG Hoffenheim
200,Willi Orbán,32.99,RB Leipzig
201,F. Kainz,32.98,1. FC Köln
202,Florian Neuhaus,32.98,Borussia Mönchengladbach
203,E. Demirović,32.97,FC Augsburg
204,Castello Lukeba,32.97,RB Leipzig
205,Y. Keitel,32.96,Sport-Club Freiburg
206,J. Justvan,32.94,SV Darmstadt 98
207,Dani Olmo,32.94,RB Leipzig
208,Victor Boniface,32.93,Bayer 04 Leverkusen
209,Leandro Barreiro,32.93,1. FSV Mainz 05
210,M. Friedl,32.92,SV Werder Bremen
211,Luca Kilian,32.92,1. FC Köln
212,Marnon Busch,32.92,1. FC Heidenheim 1846
213,Jesper Lindström,32.91,Eintracht Frankfurt
214,Edimilson Fernandes,32.90,1. FSV Mainz 05
215,A. El Ghazi,32.90,1. FSV Mainz 05
216,Leon Goretzka,32.89,FC Bayern München
217,P. Schick,32.89,Bayer 04 Leverkusen
218,Yussuf Poulsen,32.89,RB Leipzig
219,J. Brandt,32.88,Borussia Dortmund
220,H. Smolčić,32.87,Eintracht Frankfurt
221,Kiliann Sildillia,32.87,Sport-Club Freiburg
222,Exequiel Palacios,32.86,Bayer 04 Leverkusen
223,Niklas Dorsch,32.85,FC Augsburg
224,N. Mazraoui,32.84,FC Bayern München
225,S. Adamyan,32.84,1. FC Köln
226,F. Passlack,32.84,VfL Bochum 1848
227,M. Friedrich,32.83,Borussia Mönchengladbach
228,Lukas Daschner,32.83,VfL Bochum 1848
229,Fredrik Jensen,32.83,FC Augsburg
230,Oscar Vilhelmsson,32.82,SV Darmstadt 98
231,M. de Ligt,32.81,FC Bayern München
232,Manu Koné,32.81,Borussia Mönchengladbach
233,R. Sallai,32.80,Sport-Club Freiburg
234,Jeff Chabot,32.78,1. FC Köln
235,S. Lainer,32.77,Borussia Mönchengladbach
236,Eric Dier,32.76,FC Bayern München
237,T. Krauß,32.75,1. FSV Mainz 05
238,D. Zagadou,32.74,VfB Stuttgart
239,M. Wöber,32.74,Borussia Mönchengladbach
240,D. Undav,32.73,VfB Stuttgart
241,Nicolas Cozza,32.71,VfL Wolfsburg
242,S. Polter,32.70,SV Darmstadt 98
243,Y. Gerhardt,32.69,VfL Wolfsburg
244,Harry Kane,32.68,FC Bayern München
245,Fraser Hornby,32.66,SV Darmstadt 98
246,A. Pieper,32.65,SV Werder Bremen
247,Thomas Meunier,32.64,Borussia Dortmund
248,K. Behrens,32.64,VfL Wolfsburg
249,Wout Weghorst,32.63,TSG Hoffenheim
250,Paxten Aaronson,32.60,Eintracht Frankfurt
251,R. Reitz,32.60,Borussia Mönchengladbach
252,Elias Baum,32.59,Eintracht Frankfurt
253,A. Pavlović,32.58,FC Bayern München
254,N. Woltemade,32.58,SV Werder Bremen
255,M. Bero,32.58,VfL Bochum 1848
256,Chris Bedia,32.56,1. FC Union Berlin
257,Kevin Akpoguma,32.56,TSG Hoffenheim
258,M. Maglica,32.54,SV Darmstadt 98
259,K. Schlotterbeck,32.53,VfL Bochum 1848
260,Andreas Hanche-Olsen,32.53,1. FSV Mainz 05
261,Fábio Carvalho,32.53,RB Leipzig
262,Bouna Sarr,32.52,FC Bayern München
263,E. Martel,32.51,1. FC Köln
264,M. Mehlem,32.51,SV Darmstadt 98
265,M. Kwarteng,32.50,VfL Bochum 1848
266,M. Richter,32.49,1. FSV Mainz 05
267,J. Lee,32.48,1. FSV Mainz 05
268,N. Füllkrug,32.46,SV Werder Bremen
269,Borja Iglesias,32.46,Bayer 04 Leverkusen
270,Benedikt Gimber,32.46,1. FC Heidenheim 1846
271,M. Mittelstädt,32.45,VfB Stuttgart
272,P. Stenzel,32.44,VfB Stuttgart
273,Mats Hummels,32.44,Borussia Dortmund
274,M. Berisha,32.44,FC Augsburg
275,Lukas Nmecha,32.42,VfL Wolfsburg
276,Finn Becker,32.41,TSG Hoffenheim
277,Emil Forsberg,32.40,RB Leipzig
278,M. Leitsch,32.39,1. FSV Mainz 05
279,A. Jung,32.38,SV Werder Bremen
280,S. Michel,32.37,FC Augsburg
281,V. Grifo,32.35,Sport-Club Freiburg
282,B. Franjić,32.35,SV Darmstadt 98
283,Lucas Tousart,32.34,1. FC Union Berlin
284,M. Arnold,32.33,VfL Wolfsburg
285,S. Alvero,32.32,SV Werder Bremen
286,Jonathan Burkardt,32.31,1. FSV Mainz 05
287,Joshua Kimmich,32.29,FC Bayern München
288,S. Özcan,32.29,Borussia Dortmund
289,J. Müller,32.28,SV Darmstadt 98
290,B. Conté,32.26,TSG Hoffenheim
291,J. Gouweleeuw,32.24,FC Augsburg
292,C. Klarer,32.23,SV Darmstadt 98
293,Jens Stage,32.20,SV Werder Bremen
294,E. Choupo-Moting,32.19,FC Bayern München
295,G. Prömel,32.19,TSG Hoffenheim
296,A. Seydel,32.17,SV Darmstadt 98
297,P. Kadeřábek,32.17,TSG Hoffenheim
298,P. Mainka,32.17,1. FC Heidenheim 1846
299,L. Opitz,32.15,SV Werder Bremen
300,Robin Gosens,32.15,1. FC Union Berlin
301,A. Haidara,32.13,RB Leipzig
302,N. Loosli,32.12,VfL Bochum 1848
303,Merveille Papela,32.12,1. FSV Mainz 05
304,M. Nicolas,32.11,Borussia Mönchengladbach
305,T. Müller,32.10,FC Bayern München
306,O. Deman,32.09,SV Werder Bremen
