Team ID IFES,Team ID D3,Teamname,Spieler ID IFES,Spieler ID D3,Vorname,Nachname,Künstlername,Anzeigename,Geburtstag,Rolle,Rolle,Rückennummer,Shirtname,Position,Position,Gelöscht von finaler Liste
1883718,5423,Canada (women),397247,70026,Jayde Yuk Fun,RIVIERE,RIVIERE Jayde,Jayde RIVIERE,2001-01-22,PLA,Player,8,RIVIERE,DF,Defense,FALSE
1883718,5423,Canada (women),397234,70019,Jordyn Pamela,HUITEMA,HUITEMA Jordyn,Jordyn HUITEMA,2001-05-08,PLA,Player,9,HUITEMA,FW,Forward,FALSE
1883718,5423,Canada (women),326252,53724,Ashley Elizabeth Marie,LAWRENCE,LAWRENCE Ashley,Ashley LAWRENCE,1995-06-11,PLA,Player,10,LAWRENCE,DF,Defense,FALSE
1883718,5423,Canada (women),398394,70033,Evelyne,VIENS,VIENS Evelyne,Evelyne VIENS,1997-02-06,PLA,Player,11,VIENS,FW,Forward,FALSE
1883718,5423,Canada (women),190146,44571,Christine Margaret,SINCLAIR,SINCLAIR Christine,Christine SINCLAIR,1983-06-12,PLA,Player,12,SINCLAIR,FW,Forward,FALSE
1883718,5423,Canada (women),224525,44564,Sophie Diana,SCHMIDT,SCHMIDT Sophie,Sophie SCHMIDT,1988-06-28,PLA,Player,13,SCHMIDT,MF,Midfielder,FALSE
1883718,5423,Canada (women),420157,69885,Vanessa Brigitte,GILLES,GILLES Vanessa,Vanessa GILLES,1996-03-11,PLA,Player,14,GILLES,DF,Defense,FALSE
1883718,5423,Canada (women),359191,70023,Nichelle,PRINCE,PRINCE Nichelle,Nichelle PRINCE,1995-02-19,PLA,Player,15,PRINCE,FW,Forward,FALSE
1883718,5423,Canada (women),377907,69881,Gabrielle,CARLE,CARLE Gabrielle,Gabrielle CARLE,1998-10-12,PLA,Player,16,CARLE,DF,Defense,FALSE
1883718,5423,Canada (women),377901,53722,Jessie Alexandra,FLEMING,FLEMING Jessie,Jessie FLEMING,1998-03-11,PLA,Player,17,FLEMING,MF,Midfielder,FALSE
1883718,5423,Canada (women),300474,69883,Sabrina Victoria,D'ANGELO,DANGELO Sabrina,Sabrina DANGELO,1993-05-11,PLA,Player,18,D'ANGELO,GK,Goalkeeper,FALSE
